id,title,publishedAt,categoryId,viewCount,likeCount,dislikeCount
Jdudq9gHJzY,Jackson Wang - Dawn of us (Official Music Video),2018-04-19,10,20536010,627955,3795
Y-l-F7aTrAI,PUMA X Gen Neo 梁根荣 - 每分每秒 PV (官方 Campaign Cut),2017-02-15,10,53959,789,3
OjrMkcYQrrU,你不在/Heartbreaker (Urban R&B 翻唱改编) - Gen Neo 梁根荣 X Casper (Concept Video),2016-09-01,10,239839,4469,21
vQaiRSgq2Cc,Gen Neo 梁根荣 - STOP SUGAR (Official MV) 官方MV,2016-12-10,10,333196,5202,23
8Q6K43alRDo,Gen Neo 梁根荣 - 陌生朋友 （官方完整版 / Official Full Audio),2017-09-20,10,188285,2546,22
vQs46lQi6jk,Gen Neo 梁根荣 － Missing You (feat.汪小敏 Tracy Wang) (官方MV),2017-08-28,10,750356,7169,65
ldDC73hob2I,Gen Neo 梁根荣 - Come With Me (Official Full Audio),2017-12-28,10,131972,2380,19
74qn0eJSjpA,Eastside,2018-07-10,10,6850736,80227,12879
J2dqEK7pdBQ,I Don’t Wanna Live Forever (Fifty Shades Darker),2018-12-12,10,371562,7520,1144
QgKYZWRH4DA,Happier,2018-08-10,10,18909471,258407,43803
uQq_Z_hbFJE,There's No Way,2018-09-06,10,696376,8192,4733
4O1uHMgJ0lE,Kiss and Make Up,2018-10-18,10,2396047,33096,9713
zweuMUhYpX0,Better,2018-10-17,10,8516645,92355,20604
